,Restaurant Name,Inspection Type,Inspection Date,Inspection Score,Street Number,Street Name,Street Unit,Zip,Street Address,Inspection Month,Inspection Year,Lat,Long,Type,Rating,Rating Count
3249,PAPA YUN'S DONUTS,Routine,11/6/2019,81,1904,RECORD CROSSING,,75235,1904 RECORD CROSSING RD,11/1/2019,FY2020,32.8175084,-96.8505919,Restaurant,4.1,55
3250,PAPPADEAUX SEAFOOD,Routine,11/14/2019,96,10428,LOMBARDY,,75220,10428 LOMBARDY LN,11/1/2019,FY2020,32.8660446,-96.8968963,Restaurant,4.5,3053
3251,PAPPADEAUX SEAFOOD,Routine,9/16/2019,98,18349,DALLAS,,75287,18349 DALLAS PKWY,9/1/2019,FY2019,32.9991661,-96.8303265,Restaurant,4.4,3252
3252,PAPPADEAUX SEAFOOD,Routine,7/17/2019,94,3520,OAK LAWN,,75219,3520 N OAK LAWN AVE,7/1/2019,FY2019,32.812038,-96.804552,Restaurant,4.4,3418
3253,PAPPAS BARBEQUE,Routine,9/5/2019,98,2231,NORTHWEST,,75220,2231 W NORTHWEST HWY,9/1/2019,FY2019,32.8642214,-96.8973572,Restaurant,4.2,1286
3254,PAPPAS BROTHERS STEAKHOUSE,Routine,11/15/2019,97,10477,LOMBARDY,,75220,10477 LOMBARDY LN,11/1/2019,FY2020,32.8669994,-96.8978594,Restaurant,4.7,1744
3255,PAPPASITO'S CANTINA,Routine,11/14/2019,94,10433,LOMBARDY,,75220,10433 LOMBARDY LN,11/1/2019,FY2020,32.865919,-96.8983627,Restaurant,4.4,2905
3256,PAPPY'S OLD FASHIONED HAMBURGERS,Routine,10/3/2019,82,1475,MOCKINGBIRD,,75247,1475 W MOCKINGBIRD LN,10/1/2019,FY2020,32.8227364,-96.8612886,Restaurant,4.2,373
3257,PARADISE BAKERY,Routine,7/11/2017,91,1201,ELM,#LL08,75202,1201 ELM ST #LL08,7/1/2017,FY2017,32.7820965,-96.8019784,,,
3258,PARADISE BAKERY & CAFE,Routine,1/13/2020,94,13710,DALLAS,H-1,75240,13710 DALLAS PKWY H-1,1/1/2020,FY2020,32.9337468,-96.8207167,Restaurant,4.6,262
3259,PARADISE CAJUN SEAFOOD,Routine,8/13/2019,97,3636,FRANKFORD,#300,75287,3636 FRANKFORD RD #300,8/1/2019,FY2019,32.995834,-96.8539976,Restaurant,5,6
3260,PARADISO/BOTANIST,Routine,9/13/2019,95,308,BISHOP,#BU2,75208,308 N BISHOP AVE #BU2,9/1/2019,FY2019,32.747574,-96.828081,Bakery,4.6,1418
3261,PARIGI,Routine,8/26/2019,91,3311,OAK LAWN,#102,75219,3311 OAK LAWN AVE #102,8/1/2019,FY2019,32.8106871,-96.8075101,Restaurant,4.5,183
3262,PARK AVENUE CLUB,Routine,11/15/2019,94,2443,WALNUT HILL,,75229,2443 WALNUT HILL LN,11/1/2019,FY2020,32.882477,-96.895172,,,
3263,PARK CITY CLUB,Routine,9/12/2019,90,5956,SHERRY,#1700,75225,5956 SHERRY LN #1700,9/1/2019,FY2019,32.861999,-96.8098978,Restaurant,4.6,144
3264,PARK INN BY RADISSON LOVE FIELD ( RAY'S BAR),Routine,10/13/2016,95,1241,MOCKINGBIRD,,75247,1241 W MOCKINGBIRD LN,10/1/2016,FY2017,32.8204062,-96.8680209,,,
3265,PARK LANE AREBA GROCERY,Routine,10/3/2019,95,6882,SHADY BROOK,,75231,6882 SHADY BROOK LN,10/1/2019,FY2020,32.8709509,-96.7623471,Grocery_Or_Supermarket,4.7,81
3266,PARK LANE CAFE,Routine,9/13/2018,81,8080,PARK,149,75231,8080 PARK LN STE 149,9/1/2018,FY2018,32.8709834,-96.7677647,,,
3267,PARK LN FOOD TO GO,Routine,1/15/2019,85,8336,PARK,#B,75231,8336 PARK LN #B,1/1/2019,FY2019,32.8707569,-96.7611711,,,
3268,PARK'S HAMBURGER'S,Routine,5/31/2019,93,6333,FOREST PARK,#204A,75235,6333 FOREST PARK RD #204A,5/1/2019,FY2019,32.8232691,-96.8460774,,,
