,index,Restaurant Name,Inspection Type,Inspection Date,Inspection Score,Street Number,Street Name,Street Unit,Zip,Street Address,Inspection Month,Inspection Year,Lat,Long,Type,Rating,Rating Count
194,6130,EL INFIERNO,Routine,07/08/2018,96,4734,MAPLE,,75219,4734 MAPLE AVE,07/1/18,FY2018,32.814761,-96.82610919999999,Bar,3.8,15
195,6147,DALLAS ASSOC OF DEAF,Routine,04/12/2017,96,4215,MAPLE,,75219,4215 MAPLE AVE,04/1/17,FY2017,32.8075413,-96.81847309999999,,,
196,6201,LA PAISANITA,Routine,02/06/2017,91,4447,MAPLE,,75219,4447 MAPLE AVE,02/1/17,FY2017,32.811239,-96.8226839,,,
197,6318,EINSTEIN BROS BAGELS,Routine,07/10/2018,83,3827,LEMMON,,75219,3827 LEMMON AVE,07/1/18,FY2018,32.812415,-96.8067375,Bakery,4.1,349
198,6324,J C DONUTS,Routine,10/17/2017,87,4418,LEMMON,,75219,4418 LEMMON AVE,10/1/17,FY2018,32.8186956,-96.812846,Meal_Delivery,3.9,233
199,6348,SIFT & POUR,Routine,05/06/2019,93,2401,VICTORY PARK,#160,75219,2401 VICTORY PARK LN #160,05/1/19,FY2019,32.788122,-96.81001099999999,Bar,4.1,124
200,6359,SUBWAY,Routine,01/26/2017,96,3426,OAK LAWN,,75219,3426 OAK LAWN AVE,01/1/17,FY2017,32.8115231,-96.8056462,Meal_Takeaway,3.8,117
201,6397,HAVANA BAR,Routine,02/02/2019,92,4006,CEDAR SPRINGS,,75219,4006 CEDAR SPRINGS RD,02/1/19,FY2019,32.81124,-96.811261,Night_Club,3.6,81
202,6428,HAVANA ROOM SOCIAL CLUB,Routine,03/24/2017,89,3030,OLIVE,#103,75219,3030 OLIVE ST #103,03/1/17,FY2017,32.7896726,-96.8093052,Bar,3.9,168
203,6547,ROMAN IZAKAYA,Routine,07/11/2018,92,3211,OAK LAWN,#C,75219,3211 OAK LAWN AVE #C,07/1/18,FY2018,32.810312,-96.8083284,Restaurant,4.4,277
204,6596,DRIP COFFEE COMPANY,Routine,03/14/2019,93,3888,OAK LAWN,#106,75219,3888 OAK LAWN AVE #106,03/1/19,FY2019,32.8159746,-96.8013608,,,
205,6633,THE TIPSY CUPCAKE,Routine,02/27/2019,91,2400,HENDERSON,#B,75219,2400 N HENDERSON #B,02/1/19,FY2019,32.8151793,-96.7784068,Bar,4.1,2017
