Restaurant Name,Inspection Type,Inspection Date,Inspection Score,Street Number,Street Name,Street Unit,Zip,Street Address,Inspection Month,Inspection Year
CRAB HOUSE,Routine,09/17/2019,88,2508,MAPLE,,75201,2508 MAPLE AVE,09/1/19,FY2019
ANA'S RESTAURANT COMIDA MEXICANA LLC,Routine,10/09/2019,75,4626,MAPLE,,75219,4626 MAPLE AVE,10/1/19,FY2020
SUZE,Routine,09/18/2019,92,4343,NORTHWEST,#300,75220,4343 W NORTHWEST HWY #300,09/1/19,FY2019
BOB'S STEAK & CHOP HOUSE,Routine,09/25/2019,91,4300,LEMMON,,75219,4300 LEMMON AVE,09/1/19,FY2019
CHURCH'S CHICKEN,Routine,10/10/2019,94,2509,WESTMORELAND,,75211,2509 S WESTMORELAND RD,10/1/19,FY2020
EL POLLO LOCO,Routine,10/10/2019,91,9425,FOREST,,75243,9425 FOREST LN,10/1/19,FY2020
AI SUSHI SAKE GRILL,Routine,09/26/2019,86,4123,CEDAR SPRINGS,#102,75219,4123 CEDAR SPRINGS RD #102,09/1/19,FY2019
DALDONGNAE RESTAURANT,Routine,09/28/2019,90,11445,EMERALD,#109,75229,11445 EMERALD ST #109,09/1/19,FY2019
BIG D FOOD STORE,Routine,10/02/2019,97,11555,FERGUSON,#100,75228,11555 FERGUSON RD #100,10/1/19,FY2020
D & M FOOD MART,Routine,10/07/2019,97,4814,GASTON,,75246,4814 GASTON AVE,10/1/19,FY2020
TAQUERIA MI TIERRITA,Routine,10/11/2019,91,2838,DAVIS,,75211,2838 W DAVIS ST,10/1/19,FY2020
LONE STAR CARE AT LAKEWEST,Routine,09/11/2019,95,3494,KINGBRIDGE,,75212,3494 KINGBRIDGE ST,09/1/19,FY2019
ASIAN GROCERY,Routine,09/24/2019,80,9191,FOREST,#3,75243,9191 FOREST LN #3,09/1/19,FY2019
LA FAMILIA MEAT MARKET BEER AND WINE & TAQUERIA,Routine,10/02/2019,86,17602,KELLY,#110,75287,17602 KELLY BLVD #110,10/1/19,FY2020
POKE SUSHI ROLL,Routine,09/05/2019,92,5706,MOCKINGBIRD,#110,75206,5706 E MOCKINGBIRD LN #110,09/1/19,FY2019
SANTA CLARA CATHOLIC CHURCH CAFETERIA,Routine,09/24/2019,95,321,CALUMET,,75211,321 CALUMET AVE,09/1/19,FY2019
2817 MAPLE LLC,Routine,09/19/2019,86,2817,MAPLE,#210,75201,2817 MAPLE AVE #210,09/1/19,FY2019
BUZZBREWS INC,Routine,09/11/2019,80,4154,CENTRAL,,75204,4154 N CENTRAL EXPW,09/1/19,FY2019
A&A PIZZA,Routine,09/30/2019,92,900,CORINTH,,75203,900 S CORINTH ST,09/1/19,FY2019
ANVIL PUB,Routine,09/25/2019,90,2638,ELM,,75201,2638 ELM ST,09/1/19,FY2019
J. WHISKEY'S SPORTS BAR & GRILL,Routine,09/20/2019,92,2951,WESTMORELAND,,75233,2951 S WESTMORELAND RD,09/1/19,FY2019
LONE STAR RANCH,Routine,09/23/2019,80,8155,RL THORNTON,#100,75232,8155 S RL THORNTON FRWY #100,09/1/19,FY2019
GOLDEN CHICK,Routine,09/18/2019,83,11805,NORTHWEST,,75238,11805 E NORTHWEST HWY,09/1/19,FY2019
EL POLLO REGIO,Routine,09/19/2019,88,6300,SAMUELL,#159,75228,6300 SAMUELL BLVD #159,09/1/19,FY2019
AIKIN ELEMENTARY,Routine,10/10/2019,97,12300,PLEASANT VALLEY,,75243,12300 PLEASANT VALLEY DR,10/1/19,FY2020
DOLLAR GENERAL,Routine,07/31/2017,99,580,LAWSON,,75253,580 W LAWSON RD,07/1/17,FY2017
NOVA,Routine,09/22/2019,92,1417,DAVIS,,75208,1417 W DAVIS ST,09/1/19,FY2019
CLUTCH BAR,Routine,09/26/2019,84,2520,CEDAR SPRINGS,,75201,2520 CEDAR SPRINGS RD,09/1/19,FY2019
MI COCINA,Routine,09/18/2019,88,11661,PRESTON,#138,75230,11661 PRESTON RD #138,09/1/19,FY2019
MESQUITE SPORTS BAR,Routine,10/03/2019,84,4628,MAPLE,,75219,4628 MAPLE AVE,10/1/19,FY2020
GUNG HO,Routine,09/22/2019,76,2010,GREENVILLE,#A&B,75206,2010 GREENVILLE AVE #A&B,09/1/19,FY2019
MR. MESERO,Routine,09/19/2019,87,4444,MCKINNEY,,75205,4444 MCKINNEY AVE,09/1/19,FY2019
BANH MI STATION,Routine,09/05/2019,94,1818,SYLVAN,#C100,75208,1818 SYLVAN AVE #C100,09/1/19,FY2019
TIGER MART,Routine,10/08/2019,81,7100,RL THORNTON,,75232,7100 S RL THORNTON FRWY,10/1/19,FY2020
MERIT TOWER CAFE,Routine,09/17/2019,90,12222,MERIT,#R600,75251,12222 MERIT DR #R600,09/1/19,FY2019
