restaurant_name,inspection_type,inspection_date,inspection_score,street_number,street_name,street_unit,zip_code,street_address,inspection_month,inspection_year,lat,long,Unique Join
EL CHAROLAZO COMIDA MEXICANA CON SABOR,Routine,04/13/2019,70,11200,HARRY HINES,#WXZ,75229,1234 NEWPORT AVE,Apr 2019,FY2019,32.889045,-96.888727,
EL CHIROLO,Routine,12/31/2019,92,2244,GUS THOMASSON,,75228,4101 BRYAN ST #160,Dec 2019,FY2020,32.834757,-96.676789,
EL CRISTAL BAR,Routine,12/26/2019,86,10523,HARRY HINES,,75220,1109 S WALTON WALKER BLVD,Dec 2019,FY2020,32.867716,-96.882249,
EL EMPERADOR,Routine,10/22/2019,90,10229,HARRY HINES,,75220,1050 N WESTMORELAND RD #429,Oct 2019,FY2020,32.86307,-96.881074,
EL EMPERADOR,Routine,04/08/2019,80,10229,HARRY HINES,,75220,1050 S BELTLINE RD,Apr 2019,FY2019,32.86307,-96.881074,
EL FENIX,Routine,12/11/2019,93,120,COLORADO,,75203,15340 DALLAS PKWY,Dec 2019,FY2020,32.758735,-96.822069,
EL FENIX,Routine,12/26/2019,93,255,CASA LINDA PLAZA,,75218,5455 N JIM MILLER RD,Dec 2019,FY2020,30.333582,-81.397964,
EL FENIX,Routine,07/15/2019,81,1601,MCKINNEY,,75202,2500 VICTORY AVE PLZA #1050,Jul 2019,FY2019,32.787563,-96.80456,
EL FENIX,Routine,07/08/2019,93,240,WEBB CHAPEL VILLAGE,,75229,4505 RIDGESIDE DR,Jul 2019,FY2019,37.283976,-100.33469,
EL FENIX,Routine,06/17/2019,80,120,COLORADO,,75203,15340 DALLAS PKWY #2010,Jun 2019,FY2019,32.758735,-96.822069,
EL FENIX,Routine,06/25/2019,88,255,CASA LINDA PLAZA,,75218,5456 E MOCKINGBIRD LN #100,Jun 2019,FY2019,30.333582,-81.397964,
EL FENIX,Routine,01/16/2019,80,1601,MCKINNEY,,75202,2500 VICTORY AVE PLZA #1053,Jan 2019,FY2019,32.787563,-96.80456,
EL FENIX,Routine,01/09/2019,91,240,WEBB CHAPEL VILLAGE,,75229,4506 COLUMBIA AVE #100,Jan 2019,FY2019,37.283976,-100.33469,
"EL FOGONCITO, LLC",Routine,08/21/2019,80,1220,RIVER BEND,#140,75247,17194 PRESTON RD #101,Aug 2019,FY2019,32.816748,-96.863887,
"EL FOGONCITO, LLC",Routine,02/15/2019,88,1220,RIVER BEND,#140,75247,17194 PRESTON RD #140,Feb 2019,FY2019,32.816748,-96.863887,
EL GLOBO TAQUERIA,Routine,08/08/2019,80,212,LLEWELLYN,,75208,3634 MARVIN D LOVE FRWY,Aug 2019,FY2019,32.743584,-96.832133,
EL GLOBO TAQUERIA,Routine,02/07/2019,80,212,LLEWELLYN,,75208,3635 DAN MORTON DR 1FL,Feb 2019,FY2019,32.743584,-96.832133,
EL GUERRERENSE,Routine,04/28/2019,83,2215,OATES,#C,75228,3943 S COCKRELL HILL RD #200,Apr 2019,FY2019,32.82157,-96.677656,
EL HUARACHE RESTAIRANT,Routine,12/18/2019,80,3237,NORTHWEST,#102,75220,9100 N CENTRAL EXPW #149,Dec 2019,FY2020,32.855725,-96.865217,
EL HUARACHE RESTAIRANT,Routine,05/30/2019,80,3237,NORTHWEST,#102,75220,9100 N CENTRAL EXPW #151,May 2019,FY2019,32.855725,-96.865217,
EL HUARACHE RESTAIRANT,Routine,04/30/2019,76,3237,NORTHWEST,#102,75220,911 N PEAK ST,Apr 2019,FY2019,32.855725,-96.865217,
EL JALE CLUB,Routine,04/29/2019,98,1910,HARWOOD,,75215,3106 FOREST LN,Apr 2019,FY2019,32.772385,-96.783711,
EL MAYOREO MEAT MARKET,Routine,10/16/2019,87,1105,WALTON WALKER,,15751,1201 MAIN ST #P-25,Oct 2019,FY2020,32.735976,-96.920375,
EL MERENDERO RESTAURANT,Routine,07/19/2019,91,333,MOCKINGBIRD,,75247,9440 GARLAND RD STE 234,Jul 2019,FY2019,32.804473,-96.873754,
EL MERENDERO RESTAURANT,Routine,06/10/2019,57,333,MOCKINGBIRD,,75247,9440 MARSH LN,Jun 2019,FY2019,32.804473,-96.873754,
EL MICHOACANO RESTAURANTE,Routine,12/27/2019,88,10817,DENTON,#B,75220,11613 N CENTRAL EXPW #111,Dec 2019,FY2020,32.875408,-96.882115,
EL MICHOACANO RESTAURANTE,Routine,05/31/2019,94,10817,DENTON,#B,75220,11613 N CENTRAL EXPW #111A,May 2019,FY2019,32.875408,-96.882115,
EL MIGUELENO CAFE,Routine,12/26/2019,81,10788,HARRY HINES,B-11A,75220,1153 W CAMP WISDOM RD,Dec 2019,FY2020,32.874047,-96.883685,
EL MIGUELENO CAFE,Routine,05/11/2019,80,10788,HARRY HINES,B-11A,75220,1154 PEAVY RD,May 2019,FY2019,32.874047,-96.883685,
