restaurant_name,inspection_type,inspection_date,inspection_score,street_number,street_name,street_unit,zip_code,street_address,inspection_month,inspection_year,lat,long
BURGER KING,Routine,12/06/2019,95,2403,WHEATLAND,,75237,2403 W WHEATLAND RD,Dec 2019,FY2020,32.647635, -96.857642
DOMINO'S PIZZA,Routine,11/14/2019,92,4880,SUNNYVALE,#2714,75216,4880 SUNNYVALE ST #2714,Nov 2019,FY2020,32.695182, -96.772426
JACK IN THE BOX #3733,Routine,12/03/2019,96,18220,DALLAS,,75287,18220 DALLAS PKWY,Dec 2019,FY2020,32.998567, -96.829037
SUSHI ICHIBAN,Routine,11/18/2019,80,12101,GREENVILLE,#106,75243,12101 GREENVILLE AVE #106,Nov 2019,FY2020,32.912637, -96.745599
BURGER KING,Routine,09/11/2019,97,7300,COCKRELL HILL,,75237,7300 S COCKRELL HILL RD,Sep 2019,FY2019,32.658577, -96.891281
ADOLPHUS HOTEL (FRENCH ROOM),Routine,12/04/2019,96,1321,COMMERCE,,75202,1321 COMMERCE ST,Dec 2019,FY2020,38.256514, -122.641281
CORNER BAKERY,Routine,12/04/2019,94,600,PEARL,#100,75201,600 N PEARL EXPW #100,Dec 2019,FY2020,0,0
HAPPIEST HOUR (OUTSIDE BAR),Routine,11/18/2019,95,2616,OLIVE,,75201,2616 OLIVE ST,Nov 2019,FY2020,42.513912, -92.4547
FUEL TOWN #2 TAQUERIA,Routine,11/20/2019,81,1525,INWOOD,,75247,1525 INWOOD RD,Nov 2019,FY2020,32.810264, -96.850187
CLUB ODYSSEY PRIVATE CLUB INC,Routine,11/22/2019,91,7439,WESTMORELAND,,75237,7439 S WESTMORELAND RD,Nov 2019,FY2020,32.655517, -96.885333
FRESA LIMON,Routine,11/23/2019,80,10788,HARRY HINES,#B18,75220,10788 HARRY HINES BLVD #B18,Nov 2019,FY2020,32.874047, -96.883685
7-ELEVEN,Routine,12/09/2019,89,3230,DAVIS,,75211,3230 W DAVIS ST,Dec 2019,FY2020,32.749487, -96.873869
STARBUCKS COFFEE #6235,Routine,08/26/2019,98,6333,MOCKINGBIRD,#107,75214,6333 E MOCKINGBIRD LN #107,Aug 2019,FY2019,32.837429, -96.754041
