restaurant_name,inspection_type,inspection_date,inspection_score,street_number,street_name,street_unit,zip_code,street_address,inspection_month,inspection_year
RIO BRAVO MEXICAN RESTAURANT SEAFOOD & BAR,Routine,06/24/2019,84,8102,LBJ,#100,75251,8102 LBJ FRWY #100,Jun 2019,FY2019
BURGER KING,Routine,07/11/2019,95,725,ILLINOIS,,75224,725 W ILLINOIS AVE,Jul 2019,FY2019
WHATABURGER #707,Routine,06/06/2019,97,2741,STEMMONS,,75207,2741 N STEMMONS FRWY,Jun 2019,FY2019
WHOLE FOODS MARKET-DELI,Routine,07/08/2019,94,11700,PRESTON,714,75230,11700 PRESTON RD 714,Jul 2019,FY2019
SPEARMINT RHINO CLUB,Routine,06/18/2019,89,10965,COMPOSITE,,75220,10965 COMPOSITE DR,Jun 2019,FY2019
ALOFT DALLAS,Routine,06/27/2019,92,1033,YOUNG,#100,75202,1033 YOUNG ST #100,Jun 2019,FY2019
ROLINGO DALLAS LLC,Follow-up,07/03/2019,80,6110,GREENVILLE,#100,75243,6110 GREENVILLE AVE #100,Jul 2019,FY2019
ROYAL OAKS COUNTRY CLUB - OUTSIDE POOL BAR,Routine,06/27/2019,98,7915,GREENVILLE,,75231,7915 GREENVILLE AVE,Jun 2019,FY2019
SONIC DRIVE IN,Routine,06/27/2019,98,3023,INWOOD,,75235,3023 INWOOD RD,Jun 2019,FY2019
TACO DINER,Routine,07/05/2019,92,3699,MCKINNEY,307,75204,3699 MCKINNEY AVE 307,Jul 2019,FY2019
ROYAL OAKS POOL SNACK BAR,Routine,06/27/2019,90,7915,GREENVILLE,,75231,7915 GREENVILLE AVE,Jun 2019,FY2019
DAIRYETTE,Routine,06/27/2019,72,9785,FERGUSON,,75228,9785 FERGUSON RD,Jun 2019,FY2019
SKINNY FATS,Routine,06/20/2019,91,3700,MCKINNEY,#140,75204,3700 MCKINNEY AVE STE #140,Jun 2019,FY2019
WAL-MART #3341 GROCERY,Routine,07/08/2019,89,2305,CENTRAL,,75204,2305 N CENTRAL EXPW,Jul 2019,FY2019
LUBY'S CAFETERIA #196,Routine,06/29/2019,91,6221,MOCKINGBIRD,,75214,6221 E MOCKINGBIRD LN,Jun 2019,FY2019
CENTERPLATE BBQ #10 KIOSK,Routine,06/19/2019,100,650,GRIFFIN,,75202,650 S GRIFFIN ST,Jun 2019,FY2019
ST LUCIA BREAD CAFE,Routine,06/19/2019,80,34511,LBJ,,75241,34511 LBJ FRWY,Jun 2019,FY2019
WANG'S RESTAURANT,Routine,07/02/2019,83,6033,LUTHER,,75225,6033 LUTHER LN,Jul 2019,FY2019
ESTES EDUCATION CENTER - DISD,Routine,05/29/2019,87,3313,BECKLEY,,75224,3313 S BECKLEY AVE,May 2019,FY2019
HI MART CHICKEN (INSIDE HI MART FOOD AND BEV),Routine,06/25/2019,80,3502,SIMPSON STUART,#100,75241,3502 SIMPSON STUART RD #100,Jun 2019,FY2019
WALGREENS #07783,Routine,06/19/2019,95,2301,LAKELAND,,75228,2301 LAKELAND DR,Jun 2019,FY2019
FIRST PRESBYTERIAN CHURCH,Routine,06/26/2019,93,408,PARK,,75201,408 PARK AVE,Jun 2019,FY2019
